text,label
"Scientists discover vaccine causes autism in new study shared by anonymous source",FAKE
"NASA confirms the moon landing was faked in a Hollywood studio",FAKE
"Drinking bleach cures coronavirus according to some people",FAKE
"5G towers are spreading COVID-19, sources say",FAKE
"Bill Gates is implanting microchips in vaccines to track people",FAKE
"The government is putting chemicals in tap water to control minds",FAKE
"Doctors hate this one weird trick that cures cancer overnight",FAKE
"Secret documents prove climate change is a hoax invented by scientists",FAKE
"You won't believe what they found in fast food — the truth they hide",FAKE
"The mainstream media is hiding the real cure for diabetes",FAKE
"Shocking: Politicians have been secretly replaced by clones for decades",FAKE
"Scientists say eating sugar directly causes ADHD in children, 100% proven",FAKE
"Migrants are bringing diseases that are wiping out local populations",FAKE
"The deep state is controlling all elections, absolute proof exposed",FAKE
"This plant extract completely cures Alzheimer's in just 3 days",FAKE
"Breaking: Famous actor admits to being part of global satanic conspiracy",FAKE
"Government hiding evidence that aliens built the pyramids",FAKE
"Cellphones cause brain tumors — the truth big pharma won't tell you",FAKE
"Exclusive: leaked footage proves the earth is actually flat",FAKE
"Share before they delete this: water fluoridation causes cancer",FAKE
"Anonymous sources say world leaders are secretly lizard people",FAKE
"Study proves that eating chocolate every day reverses aging, doctors hate it",FAKE
"Chemtrails are real — pilots have admitted to spraying toxic chemicals",FAKE
"The COVID vaccine contains live HIV according to whistleblowers",FAKE
"Scientists have confirmed that the sun is actually getting colder",FAKE
"Exposed: major hospital secretly euthanizing patients without consent",FAKE
"FBI documents prove Obama was born in Kenya, cover-up finally revealed",FAKE
"Microwave ovens are banned in Russia because they cause radiation poisoning",FAKE
"New study shows wind turbines cause cancer within 1 mile radius",FAKE
"Millions of illegal votes were cast in the last election, undeniable proof",FAKE
"Ancient civilization discovered on Mars in leaked NASA photos",FAKE
"The moon controls human behavior — scientists are hiding this fact",FAKE
"Child trafficking ring discovered in pizza restaurant basement",FAKE
"Apple cider vinegar cures stage 4 cancer in two weeks, oncologists furious",FAKE
"Video proves that thunder is caused by government weather machines",FAKE
"The Federal Reserve is illegally printing money to fund secret wars",FAKE
"Hollywood actor arrested for running bioweapon lab in home",FAKE
"Scientists claim eating red meat every meal reverses heart disease",FAKE
"Massive earthquake will hit Los Angeles on specific date, seers predict",FAKE
"New law secretly passed allows government to seize all private property",FAKE
"The United Nations passed legislation banning private car ownership in 2023",REAL
"Researchers at Stanford University published findings on antibiotic resistance in The Lancet",REAL
"The Federal Reserve raised interest rates by 0.25 percentage points at its March meeting",REAL
"Apple announced its quarterly earnings, reporting revenue of 90 billion dollars",REAL
"The World Health Organization updated its guidelines on hand hygiene in healthcare settings",REAL
"NASA's James Webb Space Telescope captured new images of galaxies 13 billion light years away",REAL
"The European Union reached a new agreement on carbon emission targets for 2030",REAL
"A magnitude 6.2 earthquake struck off the coast of Japan, causing no major damage",REAL
"The United Kingdom's Parliament passed the Online Safety Bill into law",REAL
"A new species of deep-sea fish was discovered by marine biologists in the Pacific Ocean",REAL
"The International Monetary Fund revised its global growth forecast downward for 2024",REAL
"Archaeologists uncovered a 3000-year-old tomb in Egypt's Valley of the Kings",REAL
"The French government announced plans to expand nuclear energy capacity",REAL
"Researchers at MIT developed a new battery technology using sodium instead of lithium",REAL
"The World Cup was held in Qatar in 2022, with Argentina winning the tournament",REAL
"A new treatment for sickle cell disease using gene editing was approved by the FDA",REAL
"Global average temperatures in 2023 were the highest recorded since measurements began",REAL
"The International Space Station celebrated its 25th anniversary of continuous human habitation",REAL
"Canada's parliament voted to implement a national carbon pricing system",REAL
"A study published in Nature found that sleep deprivation impairs memory consolidation",REAL
"The Reserve Bank of Australia held its benchmark interest rate steady at its latest meeting",REAL
"New data from the census showed population growth slowing in most developed countries",REAL
"The European Central Bank raised interest rates to combat inflation in the eurozone",REAL
"Scientists successfully grew human kidney tissue from stem cells in a laboratory",REAL
"The United Nations Security Council held emergency talks over the conflict in the region",REAL
"Twitter rebranded to X following acquisition by Elon Musk in 2022",REAL
"The Supreme Court issued a ruling on a case concerning environmental regulations",REAL
"Oil prices fell sharply after OPEC announced it would increase production",REAL
"A major pharmaceutical company completed phase three trials for its new flu vaccine",REAL
"The government released its annual budget, projecting a deficit of 1.2 trillion dollars",REAL
"Research published in JAMA found that regular walking reduces cardiovascular disease risk",REAL
"The International Criminal Court issued arrest warrants for officials over alleged war crimes",REAL
"Drought conditions across southern Europe led to water restrictions in several countries",REAL
"A new bridge connecting two islands was opened after six years of construction",REAL
"The central bank of Brazil cut its benchmark interest rate amid declining inflation",REAL
"WHO declared the end of the mpox public health emergency of international concern",REAL
"Scientists at CERN reported new findings about the behavior of the Higgs boson particle",REAL
"The government introduced new regulations requiring electric vehicle charging infrastructure",REAL
"A team of paleontologists discovered dinosaur footprints in a national park in Australia",REAL
"The United States and European Union signed a new trade agreement covering digital services",REAL
